what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627340630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627352931
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627402666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1517627402679
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1517627402680
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1517627411232
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1517627411249
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627412183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627456676
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627474010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627477314
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627478515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627491642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627492447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627492749
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1517627495885
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1517627495888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627497244
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627511050
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627511185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627516128
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627525190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627540568
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627543337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627543435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627544903
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627546619
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627553887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627555084
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627556583
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627556868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627557964
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627562031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627562109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627566068
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627566114
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627566197
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627571506
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627573167
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627574471
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627574694
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627576027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627578399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627578472
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627580587
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627580633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627580727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627583218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627583344
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627584374
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627588846
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627588922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627591957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627592001
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627592058
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1517627621746
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1517627627592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627630555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627631254
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1517627656674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1517627673063
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627675740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627709258
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1517627710682
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1517627723132
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1517627723197
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1517627724799
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1517627726787
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1517627727101
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1517627727180
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1517627727200
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1517627727627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627750117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627751162
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627751426
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1517627751845
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1517627751847
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1517627751850
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1517627751854
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1517627751857
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1517627751864
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1517627751868
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1517627751869
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1517627751872
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1517627751872
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1517627751884
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1517627751889
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1517627751895
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1517627751895
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1517627751901
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1517627751907
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1517627751908
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1517627751909
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1517627751912
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1517627751912
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1517627751912
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1517627751915
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1517627751918
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1517627751921
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1517627751922
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.help.ui",1517627751923
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1517627751928
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1517627751928
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1517627751929
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1517627751929
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1517627751929
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1517627751931
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1517627751939
